glyph_name,rename,usv,character_name
u1CDC,,1CDC,VEDIC TONE KATHAKA ANUDATTA
u1CDD,,1CDD,VEDIC TONE DOT BELOW
u1CDE,,1CDE,VEDIC TONE TWO DOTS BELOW
u1CDF,,1CDF,VEDIC TONE THREE DOTS BELOW
u1CF5,,1CF5,VEDIC SIGN JIHVAMULIYA
u20A8,,20A8,RUPEE SIGN
