glyph_name,rename,usv,character_name
u0962,lvocalicmatra,0962,DEVANAGARI VOWEL SIGN VOCALIC L
u0963,llvocalicmatra,0963,DEVANAGARI VOWEL SIGN VOCALIC LL
uni20B9,inrupee,20B9,INDIAN RUPEE SIGN
